TowerInstruct-7B-v0.2|Qwen2.5-7B-Instruct|Qwen2.5-3B-Instruct|Llama-3.1-8B-Instruct|Mistral-7B-Instruct-v0.3|Llama-3.2-3B-Instruct|gpt-4o|gemma-2-2b-it|gemma-2-9b-it|Mixtral-8x7B-Instruct-v0.1|claude-3-5-sonnet|claude-3-haiku|gpt-4o-mini|TowerInstruct-Mistral-7B-v0.2
0.8416430354118347|0.8292922973632812|0.8336609601974487|0.8394863605499268|0.8315115571022034|0.8312488198280334|0.8294479846954346|0.8312790393829346|0.8370879888534546|0.8204572200775146|0.828180730342865|0.8354330658912659|0.8203781843185425|0.8236098289489746
0.8378714919090271|0.8398141860961914|0.8338744640350342|0.8421498537063599|0.7660467624664307|0.8184517621994019|0.8419694900512695|0.8333802223205566|0.8378714919090271|0.8396365642547607|0.8382593989372253|0.8384054899215698|0.8419694900512695|0.8357037305831909
0.8152164220809937|0.7737574577331543|0.767310619354248|0.7872284650802612|0.7882824540138245|0.7739554643630981|0.8157209157943726|0.787265956401825|0.7951542139053345|0.8074973821640015|0.8087899684906006|0.8156436681747437|0.8154109120368958|0.7816784381866455
0.7969443798065186|0.7931848764419556|0.8145798444747925|0.8066755533218384|0.7986619472503662|0.7882969975471497|0.8340646028518677|0.8200417160987854|0.7661863565444946|0.818550705909729|0.8092668056488037|0.8137364387512207|0.8227406740188599|0.8146265745162964
0.8101332187652588|0.8162123560905457|0.8233779072761536|0.8207542896270752|0.8197277784347534|0.6670766472816467|0.8244286775588989|0.8140624761581421|0.8235403895378113|0.8291147351264954|0.8238164186477661|0.8275684118270874|0.8256693482398987|0.8035976886749268
0.8331932425498962|0.8327452540397644|0.8312555551528931|0.8351788520812988|0.8334710597991943|0.8333581686019897|0.8289033770561218|0.8301588296890259|0.8310272693634033|0.833223819732666|0.831824541091919|0.8310721516609192|0.8341938257217407|0.8231320977210999
0.856634259223938|0.8537387847900391|0.7996485233306885|0.858367919921875|0.8545473217964172|0.8545473217964172|0.8545473217964172|0.8545473217964172|0.8545473217964172|0.8545473217964172|0.8553885221481323|0.8548190593719482|0.8545473217964172|0.8537208437919617
0.8361761569976807|0.8237114548683167|0.8312748074531555|0.8330972194671631|0.8178463578224182|0.8148895502090454|0.8310585021972656|0.8288155198097229|0.8281120657920837|0.836366593837738|0.8279674649238586|0.8318537473678589|0.8282986879348755|0.8277043104171753
0.8409911394119263|0.8446877002716064|0.841579258441925|0.8384747505187988|0.8430233597755432|0.8298934698104858|0.8372781276702881|0.8507959246635437|0.8410866856575012|0.7907851338386536|0.842549741268158|0.8410866856575012|0.8422914743423462|0.8385557532310486
0.8294408917427063|0.832665205001831|0.8117856979370117|0.807045578956604|0.8294035196304321|0.8129055500030518|0.8307805061340332|0.8242506384849548|0.8334044218063354|0.8319720029830933|0.8321888446807861|0.8324642777442932|0.8309065103530884|0.8306283354759216
0.8334301710128784|0.8166725635528564|0.8107422590255737|0.8145135641098022|0.8139297962188721|0.8269081115722656|0.8354827165603638|0.7987249493598938|0.8175679445266724|0.8435158729553223|0.8153961300849915|0.8418564796447754|0.8437120914459229|0.8438519239425659
0.8313324451446533|0.8287900686264038|0.7922089695930481|0.831666111946106|0.7986830472946167|0.8307065963745117|0.8329728841781616|0.6620955467224121|0.8293842673301697|0.8334489464759827|0.8337603211402893|0.8346487283706665|0.8320205807685852|0.8150022029876709
